IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP352;IP_PROP332;IP_PROP346;IP_PROP331;CV_PRICE_1
3660;Стол производственный СП-С-13/6-П (1300х600х850);stol-proizvodstvennyj-sp-s-13-6-p-1300x600x850;3652;heigh850width600depth1300;850;600;1300;ООО «АССУМ»;;;;;7 305
3661;Стол производственный СП-С-14/6-П (1400х600х850);stol-proizvodstvennyj-sp-s-14-6-p-1400x600x850;3652;heigh850width600depth1400;850;600;1400;ООО «АССУМ»;;;;;7 590
3662;Стол производственный СП-С-15/6-П (1500х600х850);stol-proizvodstvennyj-sp-s-15-6-p-1500x600x850;3652;heigh850width600depth1500;850;600;1500;ООО «АССУМ»;;;;;7 876
3663;Стол производственный СП-С-16/6-П (1600х600х850);stol-proizvodstvennyj-sp-s-16-6-p-1600x600x850;3652;heigh850width600depth1600;850;600;1600;ООО «АССУМ»;;;;;8 345
3664;Стол производственный СП-С-17/6-П (1700х600х850);stol-proizvodstvennyj-sp-s-17-6-p-1700x600x850;3652;heigh850width600depth1700;850;600;1700;ООО «АССУМ»;;;;;8 914
3665;Стол производственный СП-С-18/6-П (1800х600х850);stol-proizvodstvennyj-sp-s-18-6-p-1800x600x850;3652;heigh850width600depth1800;850;600;1800;ООО «АССУМ»;;;;;9 350
3666;Стол производственный СП-С-6/7-П (600х700х850);stol-proizvodstvennyj-sp-s-6-7-p-600x700x850;3652;heigh850width700depth600;850;700;600;ООО «АССУМ»;;;;;5 097
3667;Стол производственный СП-С-7/7-П (700х700х850);stol-proizvodstvennyj-sp-s-7-7-p-700x700x850;3652;heigh850width700depth700;850;700;700;ООО «АССУМ»;;;;;5 516
3668;Стол производственный СП-С-8/7-П (800х700х850);stol-proizvodstvennyj-sp-s-8-7-p-800x700x850;3652;heigh850width700depth800;850;700;800;ООО «АССУМ»;;;;;6 016
3669;Стол производственный СП-С-9/7-П (900х700х850);stol-proizvodstvennyj-sp-s-9-7-p-900x700x850;3652;heigh850width700depth900;850;700;900;ООО «АССУМ»;;;;;6 398
3670;Стол производственный СП-С-10/7-П (1000х700х850);stol-proizvodstvennyj-sp-s-10-7-p-1000x700x850;3652;heigh850width700depth1000;850;700;1000;ООО «АССУМ»;;;;;6 872
3671;Стол производственный СП-С-11/7-П (1100х700х850);stol-proizvodstvennyj-sp-s-11-7-p-1100x700x850;3652;heigh850width700depth1100;850;700;1100;ООО «АССУМ»;;;;;7 234
3672;Стол производственный СП-С-12/7-П (1200х700х850);stol-proizvodstvennyj-sp-s-12-7-p-1200x700x850;3652;heigh850width700depth1200;850;700;1200;ООО «АССУМ»;;;;;7 742
3673;Стол производственный СП-С-13/7-П (1300х700х850);stol-proizvodstvennyj-sp-s-13-7-p-1300x700x850;3652;heigh850width700depth1300;850;700;1300;ООО «АССУМ»;;;;;8 157
3674;Стол производственный СП-С-14/7-П (1400х700х850);stol-proizvodstvennyj-sp-s-14-7-p-1400x700x850;3652;heigh850width700depth1400;850;700;1400;ООО «АССУМ»;;;;;8 677
3675;Стол производственный СП-С-15/7-П (1500х700х850);stol-proizvodstvennyj-sp-s-15-7-p-1500x700x850;3652;heigh850width700depth1500;850;700;1500;ООО «АССУМ»;;;;;8 986
3676;Стол производственный СП-С-16/7-П (1600х700х850);stol-proizvodstvennyj-sp-s-16-7-p-1600x700x850;3652;heigh850width700depth1600;850;700;1600;ООО «АССУМ»;;;;;9 494
3677;Стол производственный СП-С-17/7-П (1700х700х850);stol-proizvodstvennyj-sp-s-17-7-p-1700x700x850;3652;heigh850width700depth1700;850;700;1700;ООО «АССУМ»;;;;;9 903
